Date Time,time (s),int,temp (degC),rh (%),lumen1 (nm),lumen2 (nm)
01.01.2009 00:10:00,1,4,20.73,39.983,214.29,657.8
01.01.2009 00:20:00,1,3,20.48,38.687,197.14,542.8
01.01.2009 00:30:00,3,2,20.89,40.712,174.29,552.0
01.01.2009 00:40:00,4,4,20.73,39.983,211.43,653.2
01.01.2009 00:50:00,4,3,20.48,38.687,198.57,542.8
01.01.2009 01:00:00,5,1,20.48,42.332,185.71,496.8
01.01.2009 01:10:00,7,2,20.9,40.712,175.71,547.4
01.01.2009 01:20:00,8,4,20.73,39.983,214.29,657.8
01.01.2009 01:30:00,9,3,20.47,38.687,198.57,533.6
01.01.2009 01:40:00,9,1,20.48,42.332,185.71,492.2
01.01.2009 01:50:00,11,2,20.9,40.712,171.43,542.8
01.01.2009 02:00:00,12,1,20.48,42.332,187.14,501.4
01.01.2009 02:10:00,13,3,20.47,38.687,197.14,542.8
01.01.2009 02:20:00,13,4,20.74,39.983,211.43,653.2
01.01.2009 02:30:00,15,2,20.9,40.712,171.43,542.8
01.01.2009 02:40:00,16,4,20.74,39.983,211.43,653.2
01.01.2009 02:50:00,17,3,20.48,38.687,197.14,547.4
01.01.2009 03:00:00,17,1,20.49,42.332,187.14,492.2
01.01.2009 03:10:00,19,2,20.9,40.712,171.43,542.8
01.01.2009 03:20:00,20,1,20.48,42.332,187.14,492.2
01.01.2009 03:30:00,21,4,20.74,39.983,211.43,653.2
01.01.2009 03:40:00,21,3,20.47,38.687,197.14,533.6
01.01.2009 03:50:00,23,2,20.89,40.712,172.86,547.4
01.01.2009 04:00:00,24,3,20.48,38.687,197.14,547.4
01.01.2009 04:10:00,24,1,20.48,42.332,185.71,492.2
01.01.2009 04:20:00,24,4,20.74,39.983,212.86,653.2
01.01.2009 04:30:00,27,2,20.88,40.712,172.86,547.4
01.01.2009 04:40:00,28,4,20.74,39.983,211.43,648.6
01.01.2009 04:50:00,28,3,20.48,38.687,201.43,542.8
01.01.2009 05:00:00,28,1,20.48,42.332,187.14,492.2
01.01.2009 05:10:00,31,2,20.89,40.712,168.57,542.8
01.01.2009 05:20:00,32,4,20.74,39.983,214.29,657.8
01.01.2009 05:30:00,33,3,20.48,38.687,198.57,547.4
01.01.2009 05:40:00,33,1,20.48,42.332,185.71,492.2
01.01.2009 05:50:00,35,2,20.89,40.712,172.86,547.4
01.01.2009 06:00:00,36,3,20.48,38.687,195.71,547.4
01.01.2009 06:10:00,37,4,20.74,39.983,215.71,657.8
01.01.2009 06:20:00,37,1,20.48,42.332,188.57,501.4
01.01.2009 06:30:00,39,2,20.9,40.712,170.0,547.4
01.01.2009 06:40:00,41,3,20.48,38.687,197.14,542.8
01.01.2009 06:50:00,41,4,20.74,39.983,212.86,648.6
01.01.2009 07:00:00,41,1,20.48,42.332,187.14,487.6
01.01.2009 07:10:00,43,2,20.89,40.712,171.43,552.0
01.01.2009 07:20:00,44,3,20.47,38.687,197.14,542.8
01.01.2009 07:30:00,44,4,20.74,39.983,212.86,662.4
01.01.2009 07:40:00,45,1,20.48,42.332,185.71,492.2
01.01.2009 07:50:00,47,2,20.9,40.712,172.86,547.4
01.01.2009 08:00:00,48,1,20.48,42.332,187.14,492.2
01.01.2009 08:10:00,49,4,20.74,39.983,214.29,648.6
01.01.2009 08:20:00,49,3,20.48,38.687,195.71,547.4
01.01.2009 08:30:00,51,2,20.89,40.712,171.43,533.6
01.01.2009 08:40:00,53,3,20.49,38.687,198.57,533.6
01.01.2009 08:50:00,53,1,20.48,42.332,185.71,492.2
01.01.2009 09:00:00,53,4,20.74,39.983,214.29,657.8
01.01.2009 09:10:00,55,2,20.89,40.712,171.43,542.8
01.01.2009 09:20:00,56,4,20.74,39.983,215.71,653.2
01.01.2009 09:30:00,56,3,20.48,38.687,197.14,547.4
01.01.2009 09:40:00,57,1,20.47,42.332,187.14,492.2
01.01.2009 09:50:00,59,2,20.9,40.712,172.86,547.4
01.01.2009 10:00:00,60,1,20.48,42.332,185.71,492.2
01.01.2009 10:10:00,61,3,20.48,38.687,198.57,542.8
01.01.2009 10:20:00,61,4,20.74,39.983,221.43,653.2
01.01.2009 10:30:00,63,2,20.88,40.712,171.43,547.4
01.01.2009 10:40:00,64,1,20.48,42.332,185.71,492.2
01.01.2009 10:50:00,64,3,20.48,38.687,197.14,547.4
01.01.2009 11:00:00,64,4,20.74,39.983,215.71,657.8
01.01.2009 11:10:00,67,2,20.89,40.712,171.43,547.4
01.01.2009 11:20:00,68,1,20.48,42.332,187.14,492.2
01.01.2009 11:30:00,68,4,20.74,39.983,214.29,657.8
01.01.2009 11:40:00,69,3,20.48,38.687,198.57,552.0
01.01.2009 11:50:00,71,2,20.88,40.712,171.43,547.4
01.01.2009 12:00:00,72,1,20.48,42.332,190.0,487.6
01.01.2009 12:10:00,72,3,20.48,38.687,197.14,547.4
01.01.2009 12:20:00,73,4,20.74,39.983,212.86,657.8
01.01.2009 12:30:00,75,2,20.89,40.712,171.43,542.8
01.01.2009 12:40:00,77,3,20.47,38.687,198.57,547.4
01.01.2009 12:50:00,77,4,20.74,39.983,214.29,662.4
01.01.2009 13:00:00,77,1,20.48,42.332,185.71,496.8
01.01.2009 13:10:00,79,2,20.89,40.712,172.86,547.4
01.01.2009 13:20:00,80,1,20.48,42.332,185.71,483.0
01.01.2009 13:30:00,80,4,20.74,39.983,212.86,657.8
01.01.2009 13:40:00,81,3,20.48,38.687,197.14,552.0
01.01.2009 13:50:00,83,2,20.89,40.712,172.86,552.0
01.01.2009 14:00:00,84,3,20.48,38.687,200.0,547.4
01.01.2009 14:10:00,84,4,20.74,39.983,212.86,653.2
01.01.2009 14:20:00,85,1,20.48,42.332,187.14,496.8
01.01.2009 14:30:00,87,2,20.89,40.712,172.86,552.0
01.01.2009 14:40:00,88,4,20.74,39.983,214.29,657.8
01.01.2009 14:50:00,88,1,20.48,42.332,185.71,492.2
01.01.2009 15:00:00,89,3,20.48,38.687,197.14,552.0
01.01.2009 15:10:00,91,2,20.88,40.712,171.43,547.4
01.01.2009 15:20:00,92,3,20.48,38.687,200.0,552.0
01.01.2009 15:30:00,92,4,20.73,39.983,214.29,662.4
01.01.2009 15:40:00,92,1,20.48,42.332,185.71,492.2
01.01.2009 15:50:00,95,2,20.88,40.712,170.0,547.4
01.01.2009 16:00:00,96,1,20.48,42.332,187.14,492.2
01.01.2009 16:10:00,96,4,20.73,39.983,214.29,667.0
01.01.2009 16:20:00,97,3,20.48,38.687,194.29,552.0
01.01.2009 16:30:00,99,2,20.88,40.712,174.29,547.4
01.01.2009 16:40:00,100,3,20.49,38.687,197.14,547.4
01.01.2009 16:50:00,101,1,20.47,42.332,187.14,492.2
01.01.2009 17:00:00,101,4,20.74,39.983,212.86,657.8
01.01.2009 17:10:00,103,2,20.89,40.712,171.43,547.4
01.01.2009 17:20:00,104,1,20.47,42.332,187.14,492.2
01.01.2009 17:30:00,105,3,20.49,38.687,200.0,561.2
01.01.2009 17:40:00,105,4,20.74,39.983,211.43,653.2
01.01.2009 17:50:00,107,2,20.89,40.712,170.0,547.4
01.01.2009 18:00:00,108,3,20.48,38.687,197.14,552.0
01.01.2009 18:10:00,108,4,20.73,39.983,212.86,662.4
01.01.2009 18:20:00,109,1,20.48,42.332,187.14,492.2
01.01.2009 18:30:00,111,2,20.89,40.712,172.86,547.4
01.01.2009 18:40:00,112,3,20.48,38.687,197.14,547.4
01.01.2009 18:50:00,112,1,20.48,42.332,188.57,492.2
01.01.2009 19:00:00,113,4,20.74,39.983,214.29,657.8
01.01.2009 19:10:00,115,2,20.89,40.712,170.0,547.4
01.01.2009 19:20:00,117,1,20.48,42.332,185.71,492.2
01.01.2009 19:30:00,117,4,20.74,39.983,214.29,662.4
01.01.2009 19:40:00,117,3,20.48,38.687,197.14,552.0
01.01.2009 19:50:00,119,2,20.88,40.712,172.86,547.4
01.01.2009 20:00:00,121,1,20.47,42.332,185.71,487.6
01.01.2009 20:10:00,121,4,20.74,39.983,215.71,657.8
01.01.2009 20:20:00,121,3,20.47,38.687,198.57,552.0
01.01.2009 20:30:00,123,2,20.89,40.712,171.43,552.0
01.01.2009 20:40:00,124,3,20.48,38.687,197.14,547.4
01.01.2009 20:50:00,124,1,20.48,42.332,187.14,492.2
01.01.2009 21:00:00,126,4,20.74,39.983,214.29,648.6
01.01.2009 21:10:00,127,2,20.89,40.752,171.43,547.4
01.01.2009 21:20:00,128,1,20.48,42.332,187.14,487.6
01.01.2009 21:30:00,128,3,20.48,38.687,195.71,538.2
01.01.2009 21:40:00,128,4,20.74,39.983,214.29,653.2
01.01.2009 21:50:00,130,2,20.89,40.712,171.43,552.0
01.01.2009 22:00:00,132,4,20.73,39.983,212.86,657.8
01.01.2009 22:10:00,132,3,20.47,38.687,198.57,547.4
01.01.2009 22:20:00,133,1,20.48,42.332,187.14,487.6
01.01.2009 22:30:00,135,2,20.88,40.712,172.86,552.0
01.01.2009 22:40:00,136,1,20.49,42.332,187.14,487.6
01.01.2009 22:50:00,136,3,20.47,38.687,200.0,552.0
01.01.2009 23:00:00,137,4,20.74,39.983,211.43,657.8
01.01.2009 23:10:00,138,2,20.88,40.712,172.86,552.0
01.01.2009 23:20:00,140,4,20.74,39.983,214.29,657.8
01.01.2009 23:30:00,141,3,20.48,38.687,198.57,547.4
01.01.2009 23:40:00,141,1,20.47,42.332,192.86,496.8
01.01.2009 23:50:00,143,2,20.89,40.712,172.86,556.6
02.01.2009 00:00:00,144,4,20.74,39.983,212.86,657.8
02.01.2009 00:10:00,144,1,20.48,42.332,184.29,492.2
02.01.2009 00:20:00,145,3,20.47,38.687,198.57,556.6
02.01.2009 00:30:00,147,2,20.88,40.752,172.86,552.0
02.01.2009 00:40:00,148,3,20.46,38.687,192.86,547.4
02.01.2009 00:50:00,149,4,20.74,39.983,214.29,653.2
02.01.2009 01:00:00,149,1,20.48,42.332,187.14,496.8
02.01.2009 01:10:00,151,2,20.88,40.712,172.86,552.0
02.01.2009 01:20:00,152,4,20.73,39.983,212.86,657.8
02.01.2009 01:30:00,152,1,20.47,42.332,187.14,496.8
02.01.2009 01:40:00,153,3,20.47,38.687,197.14,547.4
02.01.2009 01:50:00,155,2,20.88,40.712,172.86,547.4
02.01.2009 02:00:00,156,1,20.48,42.332,185.71,496.8
02.01.2009 02:10:00,157,4,20.74,39.983,212.86,667.0
02.01.2009 02:20:00,157,3,20.46,38.687,200.0,547.4
02.01.2009 02:30:00,159,2,20.88,40.752,171.43,547.4
02.01.2009 02:40:00,160,4,20.74,39.983,215.71,667.0
02.01.2009 02:50:00,160,3,20.46,38.687,198.57,552.0
02.01.2009 03:00:00,161,1,20.48,42.332,188.57,496.8
02.01.2009 03:10:00,163,2,20.88,40.752,175.71,552.0
02.01.2009 03:20:00,164,4,20.73,39.983,217.14,662.4
02.01.2009 03:30:00,164,3,20.47,38.687,198.57,542.8
02.01.2009 03:40:00,165,1,20.48,42.332,188.57,492.2
02.01.2009 03:50:00,167,2,20.88,40.752,170.0,556.6
02.01.2009 04:00:00,168,4,20.74,39.983,218.57,653.2
02.01.2009 04:10:00,168,1,20.48,42.332,187.14,496.8
02.01.2009 04:20:00,169,3,20.47,38.687,198.57,556.6
02.01.2009 04:30:00,171,2,20.88,40.712,171.43,552.0
02.01.2009 04:40:00,172,1,20.48,42.332,190.0,496.8
02.01.2009 04:50:00,172,3,20.47,38.687,198.57,552.0
02.01.2009 05:00:00,173,4,20.75,39.983,214.29,657.8
02.01.2009 05:10:00,175,2,20.88,40.752,170.0,552.0
02.01.2009 05:20:00,176,4,20.74,39.983,215.71,667.0
02.01.2009 05:30:00,176,1,20.47,42.332,187.14,496.8
02.01.2009 05:40:00,177,3,20.46,38.687,198.57,556.6
02.01.2009 05:50:00,179,2,20.88,40.752,174.29,556.6
02.01.2009 06:00:00,181,1,20.48,42.332,185.71,496.8
02.01.2009 06:10:00,181,4,20.74,39.983,217.14,662.4
02.01.2009 06:20:00,181,3,20.46,38.687,197.14,556.6
02.01.2009 06:30:00,183,2,20.88,40.752,171.43,552.0
02.01.2009 06:40:00,184,1,20.48,42.332,182.86,492.2
02.01.2009 06:50:00,185,3,20.48,38.687,198.57,556.6
02.01.2009 07:00:00,186,4,20.74,39.983,217.14,662.4
02.01.2009 07:10:00,186,2,20.88,40.752,172.86,561.2
02.01.2009 07:20:00,188,4,20.74,39.983,214.29,657.8
02.01.2009 07:30:00,189,1,20.48,42.332,187.14,496.8
02.01.2009 07:40:00,189,3,20.47,38.687,198.57,552.0
02.01.2009 07:50:00,191,2,20.88,40.712,174.29,542.8
02.01.2009 08:00:00,192,3,20.47,38.687,198.57,552.0
02.01.2009 08:10:00,192,1,20.47,42.332,187.14,496.8
02.01.2009 08:20:00,193,4,20.74,39.983,214.29,662.4
02.01.2009 08:30:00,195,2,20.88,40.752,171.43,552.0
02.01.2009 08:40:00,196,1,20.47,42.332,187.14,501.4
02.01.2009 08:50:00,196,3,20.46,38.687,198.57,552.0
02.01.2009 09:00:00,197,4,20.74,39.983,212.86,667.0
02.01.2009 09:10:00,199,2,20.88,40.752,172.86,547.4
02.01.2009 09:20:00,200,1,20.47,42.332,188.57,501.4
02.01.2009 09:30:00,201,3,20.48,38.687,200.0,552.0
02.01.2009 09:40:00,201,4,20.74,39.983,214.29,667.0
02.01.2009 09:50:00,203,2,20.87,40.752,177.14,556.6
02.01.2009 10:00:00,205,3,20.46,38.687,200.0,556.6
02.01.2009 10:10:00,205,4,20.74,39.983,215.71,671.6
02.01.2009 10:20:00,205,1,20.48,42.332,187.14,496.8
02.01.2009 10:30:00,207,2,20.88,40.752,172.86,561.2
02.01.2009 10:40:00,208,4,20.74,39.983,215.71,667.0
02.01.2009 10:50:00,208,1,20.47,42.332,185.71,496.8
02.01.2009 11:00:00,209,3,20.46,38.687,198.57,556.6
02.01.2009 11:10:00,211,2,20.88,40.752,172.86,556.6
02.01.2009 11:20:00,213,3,20.47,38.687,198.57,556.6
02.01.2009 11:30:00,213,4,20.74,39.983,215.71,667.0
02.01.2009 11:40:00,213,1,20.47,42.332,188.57,492.2
02.01.2009 11:50:00,215,2,20.88,40.793,171.43,570.4
02.01.2009 12:00:00,217,3,20.46,38.687,198.57,547.4
02.01.2009 12:10:00,217,1,20.48,42.332,188.57,496.8
02.01.2009 12:20:00,219,4,20.74,39.983,215.71,667.0
02.01.2009 12:30:00,219,2,20.88,40.752,172.86,561.2
02.01.2009 12:40:00,220,3,20.46,38.687,200.0,561.2
02.01.2009 12:50:00,221,1,20.48,42.332,187.14,492.2
02.01.2009 13:00:00,221,4,20.73,39.983,217.14,676.2
02.01.2009 13:10:00,223,2,20.88,40.752,172.86,570.4
02.01.2009 13:20:00,224,4,20.74,39.983,214.29,667.0
02.01.2009 13:30:00,224,3,20.48,38.727,200.0,556.6
02.01.2009 13:40:00,225,1,20.48,42.332,188.57,496.8
02.01.2009 13:50:00,227,2,20.87,40.793,172.86,556.6
02.01.2009 14:00:00,228,4,20.74,39.983,212.86,667.0
02.01.2009 14:10:00,228,1,20.48,42.332,188.57,496.8
02.01.2009 14:20:00,229,3,20.47,38.687,200.0,538.2
02.01.2009 14:30:00,230,2,20.88,40.752,172.86,561.2
02.01.2009 14:40:00,232,1,20.48,42.332,188.57,501.4
02.01.2009 14:50:00,232,4,20.73,39.983,214.29,662.4
02.01.2009 15:00:00,236,2,20.87,40.752,172.86,552.0
02.01.2009 15:10:00,236,3,20.46,38.727,198.57,565.8
